VT_rate, phenotype, sum_count, partner
NONE, 0000000000000000000000000000000000000000000000000000000000010011, 15, host
NONE, 0000000000000000000000000000000000000000000000000000000000001100, 14, host
NONE, 0000000000000000000000000000000000000000000000000000000000011011, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000011001, 12, host
NONE, 0000000000000000000000000000000000000000000000000000000010001010, 5, host
NONE, 0000000000000000000000000000000000000000000000000000000001010101, 2, host
NONE, 0000000000000000000000000000000000000000000000000000000010000110, 5, host
NONE, 0000000000000000000000000000000000000000000000000000000000010110, 7, host
NONE, 0000000000000000000000000000000000000000000000000000000000001111, 2, host
NONE, 0000000000000000000000000000000000000000000000000000000000000110, 1920, host
NONE, 0000000000000000000000000000000000000000000000000000000000000011, 667, host
NONE, 0000000000000000000000000000000000000000000000000000000000000001, 13449, host
NONE, 0000000000000000000000000000000000000000000000000000000000011000, 26, host
NONE, 0000000000000000000000000000000000000000000000000000000000000100, 831, host
NONE, 0000000000000000000000000000000000000000000000000000000000001011, 107, host
NONE, 0000000000000000000000000000000000000000000000000000000000100010, 30, host
NONE, 0000000000000000000000000000000000000000000000000000000000000000, 175027, host
NONE, 0000000000000000000000000000000000000000000000000000000000100000, 124, host
NONE, 0000000000000000000000000000000000000000000000000000000000001001, 960, host
NONE, 0000000000000000000000000000000000000000000000000000000000001010, 529, host
NONE, 0000000000000000000000000000000000000000000000000000000000100001, 31, host
NONE, 0000000000000000000000000000000000000000000000000000000000000010, 4875, host
NONE, 0000000000000000000000000000000000000000000000000000000000010000, 249, host
NONE, 0000000000000000000000000000000000000000000000000000000010000011, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000001000, 521, host
NONE, 0000000000000000000000000000000000000000000000000000000000010001, 204, host
NONE, 0000000000000000000000000000000000000000000000000000000000000101, 69, host
NONE, 0000000000000000000000000000000000000000000000000000000000010100, 80, host
NONE, 0000000000000000000000000000000000000000000000000000000000000111, 121, host
NONE, 0000000000000000000000000000000000000000000000000000000000001101, 6, host
NONE, 0000000000000000000000000000000000000000000000000000000001000001, 13, host
NONE, 0000000000000000000000000000000000000000000000000000000000010010, 19, host
NONE, 0000000000000000000000000000000000000000000000000000000001000101, 3, host
NONE, 0000000000000000000000000000000000000000000000000000000000101011, 2, host
NONE, 0000000000000000000000000000000000000000000000000000000000010101, 6, host
NONE, 0000000000000000000000000000000000000000000000000000000001000011, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000001010001, 10, host
NONE, 0000000000000000000000000000000000000000000000000000000000100110, 3, host
NONE, 0000000000000000000000000000000000000000000000000000000000010111, 5, host
NONE, 0000000000000000000000000000000000000000000000000000000110000110, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000001110, 10, host
NONE, 0000000000000000000000000000000000000000000000000000000001000000, 3, host
NONE, 0000000000000000000000000000000000000000000000000000000000011010, 3, host
NONE, 0000000000000000000000000000000000000000000000000000000000101001, 4, host
NONE, 0000000000000000000000000000000000000000000000000000000100010000, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000010001011, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000100011, 4, host
NONE, 0000000000000000000000000000000000000000000000000000000000111001, 3, host
NONE, 0000000000000000000000000000000000000000000000000000000000011100, 5, host
NONE, 0000000000000000000000000000000000000000000000000000000000100101, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000100100, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000011101, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000110100, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000010000010, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000101000, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000001001001, 2, host
NONE, 0000000000000000000000000000000000000000000000000000000000110001, 2, host
NONE, 0000000000000000000000000000000000000000000000000000000000011110, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000010010010, 1, host
NONE, 0000000000000000000000000000000000000000000000000000000000101010, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000010011, 11, host
0.2, 0000000000000000000000000000000000000000000000000000000001000001, 18, host
0.2, 0000000000000000000000000000000000000000000000000000000001000000, 5, host
0.2, 0000000000000000000000000000000000000000000000000000000000010010, 25, host
0.2, 0000000000000000000000000000000000000000000000000000000000001110, 2, host
0.2, 0000000000000000000000000000000000000000000000000000000000100010, 23, host
0.2, 0000000000000000000000000000000000000000000000000000000000010000, 284, host
0.2, 0000000000000000000000000000000000000000000000000000000000000101, 61, host
0.2, 0000000000000000000000000000000000000000000000000000000000000100, 274, host
0.2, 0000000000000000000000000000000000000000000000000000000000000010, 3563, host
0.2, 0000000000000000000000000000000000000000000000000000000000011000, 27, host
0.2, 0000000000000000000000000000000000000000000000000000000000000001, 18708, host
0.2, 0000000000000000000000000000000000000000000000000000000001000101, 10, host
0.2, 0000000000000000000000000000000000000000000000000000000000000000, 172116, host
0.2, 0000000000000000000000000000000000000000000000000000000000001010, 366, host
0.2, 0000000000000000000000000000000000000000000000000000000000100001, 41, host
0.2, 0000000000000000000000000000000000000000000000000000000000100000, 121, host
0.2, 0000000000000000000000000000000000000000000000000000000000001001, 1482, host
0.2, 0000000000000000000000000000000000000000000000000000000000010100, 70, host
0.2, 0000000000000000000000000000000000000000000000000000000000000011, 772, host
0.2, 0000000000000000000000000000000000000000000000000000000000010001, 64, host
0.2, 0000000000000000000000000000000000000000000000000000000000001000, 1285, host
0.2, 0000000000000000000000000000000000000000000000000000000000000110, 264, host
0.2, 0000000000000000000000000000000000000000000000000000000000001101, 10, host
0.2, 0000000000000000000000000000000000000000000000000000000000101000, 3, host
0.2, 0000000000000000000000000000000000000000000000000000000000010111, 5, host
0.2, 0000000000000000000000000000000000000000000000000000000000010110, 3, host
0.2, 0000000000000000000000000000000000000000000000000000000000011011, 5, host
0.2, 0000000000000000000000000000000000000000000000000000000000100011, 8, host
0.2, 0000000000000000000000000000000000000000000000000000000010001010, 2, host
0.2, 0000000000000000000000000000000000000000000000000000000000011001, 8, host
0.2, 0000000000000000000000000000000000000000000000000000000000110001, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000001011, 244, host
0.2, 0000000000000000000000000000000000000000000000000000000000011010, 4, host
0.2, 0000000000000000000000000000000000000000000000000000000001001001, 10, host
0.2, 0000000000000000000000000000000000000000000000000000000001010001, 4, host
0.2, 0000000000000000000000000000000000000000000000000000000010000010, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000010101, 14, host
0.2, 0000000000000000000000000000000000000000000000000000000000000111, 43, host
0.2, 0000000000000000000000000000000000000000000000000000000000101001, 6, host
0.2, 0000000000000000000000000000000000000000000000000000000000011100, 4, host
0.2, 0000000000000000000000000000000000000000000000000000000000001100, 16, host
0.2, 0000000000000000000000000000000000000000000000000000000000001111, 4, host
0.2, 0000000000000000000000000000000000000000000000000000000000101011, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000001001101, 3, host
0.2, 0000000000000000000000000000000000000000000000000000000001101001, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000101010, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000010000110, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000001000011, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000111001, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000001010101, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000100100, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000010010010, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000001010011, 1, host
0.2, 0000000000000000000000000000000000000000000000000000000000100100, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010110, 3, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010001, 53, sym
0.2, 0000000000000000000000000000000000000000000000000000000000011010, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010011, 5, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001110, 3, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010000, 306, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010010, 8, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000110, 336, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001001, 1443, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100000, 147, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001010, 208, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100001, 30, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000000, 168542, sym
0.2, 0000000000000000000000000000000000000000000000000000000000110001, 4, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000010, 3315, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000001, 12550, sym
0.2, 0000000000000000000000000000000000000000000000000000000100000011, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000011000, 29, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000011, 526, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001000, 1256, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001011, 51, sym
0.2, 0000000000000000000000000000000000000000000000000000000001010001, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100010, 14, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000100, 297, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010100, 61, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000111, 34, sym
0.2, 0000000000000000000000000000000000000000000000000000000010010010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000101, 47, sym
0.2, 0000000000000000000000000000000000000000000000000000000000101010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001100, 15, sym
0.2, 0000000000000000000000000000000000000000000000000000000000011001, 12, sym
0.2, 0000000000000000000000000000000000000000000000000000000000011100, 4, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100011, 3, sym
0.2, 0000000000000000000000000000000000000000000000000000000000101001, 8, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000001, 9, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001101, 7, sym
0.2, 0000000000000000000000000000000000000000000000000000000001001001, 3, sym
0.2, 0000000000000000000000000000000000000000000000000000000110000110, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000010000010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000101011, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010111, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010101, 5, sym
0.2, 0000000000000000000000000000000000000000000000000000000000011101, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000010001110, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000000, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000010001010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001010101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000001001101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000111001, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000100011000, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000101000, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100101, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001111, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000101000001, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000100001000, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000000, 174715, host
0.8, 0000000000000000000000000000000000000000000000000000000000010101, 11, host
0.8, 0000000000000000000000000000000000000000000000000000000000011010, 4, host
0.8, 0000000000000000000000000000000000000000000000000000000000100001, 28, host
0.8, 0000000000000000000000000000000000000000000000000000000001000101, 7, host
0.8, 0000000000000000000000000000000000000000000000000000000000010110, 6, host
0.8, 0000000000000000000000000000000000000000000000000000000010111011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000011000, 36, host
0.8, 0000000000000000000000000000000000000000000000000000000000001100, 16, host
0.8, 0000000000000000000000000000000000000000000000000000000000000111, 47, host
0.8, 0000000000000000000000000000000000000000000000000000000000001000, 736, host
0.8, 0000000000000000000000000000000000000000000000000000000000000100, 303, host
0.8, 0000000000000000000000000000000000000000000000000000000000001001, 1059, host
0.8, 0000000000000000000000000000000000000000000000000000000000100000, 134, host
0.8, 0000000000000000000000000000000000000000000000000000000000000011, 691, host
0.8, 0000000000000000000000000000000000000000000000000000000000001011, 125, host
0.8, 0000000000000000000000000000000000000000000000000000000000100010, 21, host
0.8, 0000000000000000000000000000000000000000000000000000000000000010, 4156, host
0.8, 0000000000000000000000000000000000000000000000000000000000011001, 68, host
0.8, 0000000000000000000000000000000000000000000000000000000000000001, 15212, host
0.8, 0000000000000000000000000000000000000000000000000000000000000110, 517, host
0.8, 0000000000000000000000000000000000000000000000000000000000001010, 844, host
0.8, 0000000000000000000000000000000000000000000000000000000000000101, 49, host
0.8, 0000000000000000000000000000000000000000000000000000000010000110, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000010010, 19, host
0.8, 0000000000000000000000000000000000000000000000000000000001000001, 21, host
0.8, 0000000000000000000000000000000000000000000000000000000000010011, 15, host
0.8, 0000000000000000000000000000000000000000000000000000000000010100, 51, host
0.8, 0000000000000000000000000000000000000000000000000000000000010001, 676, host
0.8, 0000000000000000000000000000000000000000000000000000000000010000, 362, host
0.8, 0000000000000000000000000000000000000000000000000000000000001110, 5, host
0.8, 0000000000000000000000000000000000000000000000000000000000011100, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000010111, 2, host
0.8, 0000000000000000000000000000000000000000000000000000000000101001, 12, host
0.8, 0000000000000000000000000000000000000000000000000000000001001101, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000101000, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000001101, 5, host
0.8, 0000000000000000000000000000000000000000000000000000000001001001, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000100011, 6, host
0.8, 0000000000000000000000000000000000000000000000000000000000110001, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000000011011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001001011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001000000, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000001110001, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001010001, 2, host
0.8, 0000000000000000000000000000000000000000000000000000000000110000, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000111001, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001011001, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000100110, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000100100, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001001000, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000010000000, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000001111, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001010011, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000001000011, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000010001010, 3, host
0.8, 0000000000000000000000000000000000000000000000000000000010000010, 1, host
0.8, 0000000000000000000000000000000000000000000000000000000000000000, 169646, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100010, 13, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001100, 12, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000110, 278, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010001, 164, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010100, 61, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000101, 30, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000010, 1714, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010000, 286, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011000, 23, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000001, 7974, sym
0.8, 0000000000000000000000000000000000000000000000000000000010001010, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001000, 289, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000100, 314, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000000, 5, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100000, 111, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001001, 473, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000011, 284, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000111, 26, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010011, 7, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001110, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011010, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001010, 142, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100001, 20, sym
0.8, 0000000000000000000000000000000000000000000000000000000010000010, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000110000, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011001, 4, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011100, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001101, 5, sym
0.8, 0000000000000000000000000000000000000000000000000000000001010111, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001011, 29, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010101, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100011, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001111, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010111, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010110, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010010, 7, sym
0.8, 0000000000000000000000000000000000000000000000000000000001010001, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000101011, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000110001, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000011, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000101001, 3, sym
0.8, 0000000000000000000000000000000000000000000000000000000000011101, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000001001001, 5, sym
0.8, 0000000000000000000000000000000000000000000000000000000000111001, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000001, 8, sym
